Date,Open,Close,High,Low,Vol.,Change %
2025-01-02,73.89,74.85,75.34,71.99,11515,nan%
2025-01-03,75.17,76.17,76.32,74.81,8492,1.764%
2025-01-06,75.69,74.24,75.93,73.78,8171,-2.534%
2025-01-07,73.89,74.15,74.9,72.93,8757,-0.121%
2025-01-08,74.41,72.28,74.45,71.91,9630,-2.522%
2025-01-09,71.97,73.49,73.67,71.55,8608,1.674%
2025-01-10,73.23,74.77,75.15,72.33,9656,1.742%
2025-01-13,75.94,76.85,77.17,75.48,9068,2.782%
2025-01-14,76.93,77.13,77.22,75.74,10201,0.364%
2025-01-15,77.26,78.42,78.92,77.23,9813,1.673%
2025-01-16,77.54,78.2,78.7,77.36,9296,-0.281%
2025-01-17,77.87,79.72,80.45,77.78,8979,1.944%
2025-01-20,78.89,80.0,80.47,78.45,9440,0.351%
2025-01-21,80.1,79.83,80.4,77.88,11328,-0.213%
2025-01-22,79.66,79.16,79.92,78.47,10193,-0.839%
2025-01-23,79.25,80.8,81.97,79.2,12396,2.072%
2025-01-24,81.14,81.66,81.7,79.86,11273,1.064%
2025-01-27,81.23,79.25,81.54,79.0,10336,-2.951%
2025-01-28,79.56,80.41,80.77,78.34,10021,1.464%
2025-01-29,81.2,83.61,83.76,80.94,10898,3.980%
2025-01-30,83.57,82.6,84.4,82.45,7643,-1.208%
2025-01-31,82.99,83.79,84.41,82.65,10697,1.441%
2025-02-03,83.63,81.32,83.69,80.09,13550,-2.948%
2025-02-04,80.99,80.79,81.86,79.45,12285,-0.652%
